ref_date,region,birth_or_death,num_people,growth_from_births
"1949-10-01 00:00:00",Ontario,Births,25554,14555
"1949-10-01 00:00:00",Ontario,Deaths,10999,14555
"1949-10-01 00:00:00","Prince Edward Island",Deaths,238,424
"1949-10-01 00:00:00","Prince Edward Island",Births,662,424
"1949-10-01 00:00:00",Quebec,Deaths,8116,19065
"1949-10-01 00:00:00",Quebec,Births,27181,19065
"1949-10-01 00:00:00",Saskatchewan,Births,5029,3408
"1949-10-01 00:00:00",Saskatchewan,Deaths,1621,3408
"1949-10-01 00:00:00",Yukon,Births,93,75
"1949-10-01 00:00:00",Yukon,Deaths,18,75
"1950-01-01 00:00:00",Alberta,Deaths,1728,4376
"1950-01-01 00:00:00",Alberta,Births,6104,4376
"1950-01-01 00:00:00","British Columbia",Deaths,3118,3406
"1950-01-01 00:00:00","British Columbia",Births,6524,3406
"1950-01-01 00:00:00",Canada,Deaths,33059,55831
"1950-01-01 00:00:00",Canada,Births,88890,55831
"1950-01-01 00:00:00",Manitoba,Births,4646,2920
"1950-01-01 00:00:00",Manitoba,Deaths,1726,2920
"1950-01-01 00:00:00","New Brunswick",Births,4044,2703
"1950-01-01 00:00:00","New Brunswick",Deaths,1341,2703
"1950-01-01 00:00:00","Newfoundland and Labrador",Births,3156,2201
"1950-01-01 00:00:00","Newfoundland and Labrador",Deaths,955,2201
"1950-01-01 00:00:00","Northwest Territories including Nunavut",Deaths,85,59
"1950-01-01 00:00:00","Northwest Territories including Nunavut",Births,144,59
"1950-01-01 00:00:00","Nova Scotia",Births,4083,2383
"1950-01-01 00:00:00","Nova Scotia",Deaths,1700,2383
"1950-01-01 00:00:00",Ontario,Births,25818,14102
"1950-01-01 00:00:00",Ontario,Deaths,11716,14102
"1950-01-01 00:00:00","Prince Edward Island",Deaths,285,463
"1950-01-01 00:00:00","Prince Edward Island",Births,748,463
"1950-01-01 00:00:00",Quebec,Deaths,8726,19784
"1950-01-01 00:00:00",Quebec,Births,28510,19784
"1950-01-01 00:00:00",Saskatchewan,Births,5036,3386
"1950-01-01 00:00:00",Saskatchewan,Deaths,1650,3386
"1950-01-01 00:00:00",Yukon,Births,77,48
"1950-01-01 00:00:00",Yukon,Deaths,29,48
"1950-04-01 00:00:00",Alberta,Deaths,1825,5038
"1950-04-01 00:00:00",Alberta,Births,6863,5038
"1950-04-01 00:00:00","British Columbia",Deaths,2921,4067
"1950-04-01 00:00:00","British Columbia",Births,6988,4067
"1950-04-01 00:00:00",Canada,Births,97014,65188
"1950-04-01 00:00:00",Canada,Deaths,31826,65188
"1950-04-01 00:00:00",Manitoba,Deaths,1807,3273
"1950-04-01 00:00:00",Manitoba,Births,5080,3273
"1950-04-01 00:00:00","New Brunswick",Births,4238,3006
"1950-04-01 00:00:00","New Brunswick",Deaths,1232,3006
"1950-04-01 00:00:00","Newfoundland and Labrador",Births,3211,2496
"1950-04-01 00:00:00","Newfoundland and Labrador",Deaths,715,2496
"1950-04-01 00:00:00","Northwest Territories including Nunavut",Births,174,71
"1950-04-01 00:00:00","Northwest Territories including Nunavut",Deaths,103,71
"1950-04-01 00:00:00","Nova Scotia",Deaths,1498,2929
"1950-04-01 00:00:00","Nova Scotia",Births,4427,2929
"1950-04-01 00:00:00",Ontario,Deaths,11167,16552
"1950-04-01 00:00:00",Ontario,Births,27719,16552
"1950-04-01 00:00:00","Prince Edward Island",Deaths,217,590
"1950-04-01 00:00:00","Prince Edward Island",Births,807,590
"1950-04-01 00:00:00",Quebec,Deaths,8699,23083
"1950-04-01 00:00:00",Quebec,Births,31782,23083
"1950-04-01 00:00:00",Saskatchewan,Births,5652,4032
"1950-04-01 00:00:00",Saskatchewan,Deaths,1620,4032
"1950-04-01 00:00:00",Yukon,Births,73,51
"1950-04-01 00:00:00",Yukon,Deaths,22,51
"1950-07-01 00:00:00",Alberta,Deaths,1646,4918
"1950-07-01 00:00:00",Alberta,Births,6564,4918
"1950-07-01 00:00:00","British Columbia",Deaths,2645,4425
"1950-07-01 00:00:00","British Columbia",Births,7070,4425
"1950-07-01 00:00:00",Canada,Births,97311,68546
"1950-07-01 00:00:00",Canada,Deaths,28765,68546
